Year,County,Extreme Heat Days,Heating Degree Days,Cooling Degree Days,Max Temp,Min Temp,Precipitation
2000,Alameda,46,1991,131,72.3308252120552,65.52865742819273,12.240372845523906
2000,Butte,27,3891,1820,76.10258764697875,48.47385025958764,9.45265782897813
2000,Fresno,21,2786,2211,63.548833077184355,36.161288216192204,71.06712547549942
2000,Imperial,13,1934,4912,103.57213385095943,64.67097092227053,50.7460571505822
2000,Kern,47,1073,3580,90.20534627999302,40.01372342711777,135.7662413688889
2000,Kings,9,482,1935,97.93748655579978,33.24953329137826,170.71323772033875
2000,Los Angeles,41,312,1523,68.9294229731047,50.428254081828456,168.397678048746
2000,Madera,4,3885,501,109.0720407636583,63.452550750919244,90.76423429703244
2000,Merced,17,3033,1517,100.41490712803787,33.78360753010899,110.98010153273168
2000,Monterey,49,3424,717,87.77492682002983,49.211204884054716,72.58145095161173
2000,Napa,27,3690,2149,65.21752660380393,41.074841002525744,110.8757659552881
2000,Riverside,36,4992,3997,77.54550936988056,67.6443536773428,117.4989346042671
2000,Sacramento,39,741,864,77.19478313857289,50.120071012386944,135.9409263058432
2000,San Joaquin,34,1262,3156,71.28546284299921,51.007995333879265,137.71635483226837
2000,San Luis Obispo,35,4747,4062,85.99477438105774,40.57509856085858,88.27016591639665
2000,Santa Barbara,8,2274,4034,70.06446127105907,69.51464717836939,142.0704704490669
2000,Santa Clara,25,1002,2577,65.25134578576106,59.671521388886816,30.048376859834146
2000,Santa Cruz,3,2362,3662,93.73362053917576,33.18435258935051,108.50473651584956
2000,Solano,8,3224,447,113.60050825268682,33.04918435702932,72.40022252903479
2000,Sonoma,3,2134,2790,119.38515713145611,48.82546994824146,53.883093013024165
2000,Stanislaus,21,1371,3246,97.2149286302596,56.801062050657094,36.86055529594454
2000,Statewide,42,4046,215,118.3603341013948,65.65751116877905,61.29692827936244
2000,Tulare,1,1554,3893,112.67033469859747,69.42990569852685,21.726929533437467
2000,Ventura,39,1711,1162,103.23918848505478,46.61949941334435,48.458252525601786
2001,Alameda,22,3876,4531,119.17654502465894,67.91392758888013,190.12902835130973
2001,Butte,22,1953,1095,75.67915708742633,49.38113798223917,104.77323811259349
2001,Fresno,45,2718,4289,79.28979074140797,40.72851218969468,164.52802672324484
2001,Imperial,5,1770,3403,89.71947825972933,63.21334706222219,120.65998457644362
2001,Kern,8,3085,3543,92.44029301447358,63.256074096625966,29.67638463875293
2001,Kings,5,2381,2806,86.70359741479126,31.886157772842584,189.39636695441195
2001,Los Angeles,31,1892,4980,100.98880028691747,43.72206278390839,173.98080095572683
2001,Madera,1,887,2451,114.04214581323839,31.440354952385654,52.478096132913855
2001,Merced,8,4116,4719,75.1780958266915,30.10775630908519,45.998637488825864
